ticker,name,market
III.L,3i,FTSE 100
ABDN.L,Aberdeen Group,FTSE 100
ADM.L,Admiral Group,FTSE 100
AAF.L,Airtel Africa,FTSE 100
ALW.L,Alliance Witan,FTSE 100
AAL.L,Anglo American plc,FTSE 100
ANTO.L,Antofagasta plc,FTSE 100
ABF.L,Associated British Foods,FTSE 100
AZN.L,AstraZeneca,FTSE 100
AUTO.L,Autotrader Group,FTSE 100
AV.L,Aviva,FTSE 100
BAB.L,Babcock International,FTSE 100
BA.L,BAE Systems,FTSE 100
BARC.L,Barclays,FTSE 100
BTRW.L,Barratt Redrow,FTSE 100
BEZ.L,Beazley,FTSE 100
BP.L,BP,FTSE 100
BATS.L,British American Tobacco,FTSE 100
BLND.L,British Land,FTSE 100
BT.A.L,BT Group,FTSE 100
BNZL.L,Bunzl,FTSE 100
BRBY.L,Burberry Group,FTSE 100
CNA.L,Centrica,FTSE 100
CCEP.L,Coca-Cola Europacific Partners,FTSE 100
CCH.L,Coca-Cola HBC,FTSE 100
CPG.L,Compass Group,FTSE 100
CCC.L,Computacenter,FTSE 100
CTEC.L,Convatec,FTSE 100
CRDA.L,Croda International,FTSE 100
DCC.L,DCC Energy,FTSE 100
DGE.L,Diageo,FTSE 100
DPLM.L,Diploma,FTSE 100
EDV.L,Endeavour Mining,FTSE 100
ENT.L,Entain,FTSE 100
EXPN.L,Experian,FTSE 100
FCIT.L,F & C Investment Trust,FTSE 100
FRES.L,Fresnillo plc,FTSE 100
GAW.L,Games Workshop,FTSE 100
GLEN.L,Glencore,FTSE 100
GSK.L,GSK plc,FTSE 100
HLN.L,Haleon,FTSE 100
HLMA.L,Halma plc,FTSE 100
HSX.L,Hiscox,FTSE 100
HWDN.L,Howdens Joinery,FTSE 100
HSBA.L,HSBC,FTSE 100
ICG.L,ICG,FTSE 100
IGG.L,IG Group,FTSE 100
IHG.L,IHG Hotels & Resorts,FTSE 100
IMI.L,IMI,FTSE 100
IMB.L,Imperial Brands,FTSE 100
INF.L,Informa,FTSE 100
IAG.L,International Airlines Group,FTSE 100
ITRK.L,Intertek,FTSE 100
INVP.L,Investec,FTSE 100
JD.L,JD Sports,FTSE 100
BGEO.L,Lion Finance Group,FTSE 100
KGF.L,Kingfisher plc,FTSE 100
LAND.L,Land Securities,FTSE 100
LGEN.L,Legal & General,FTSE 100
LLOY.L,Lloyds Banking Group,FTSE 100
LMP.L,LondonMetric Property,FTSE 100
LSEG.L,London Stock Exchange Group,FTSE 100
MNG.L,M&G,FTSE 100
MKS.L,Marks & Spencer,FTSE 100
MRO.L,Melrose Industries,FTSE 100
MTLN.L,Metlen Energy & Metals,FTSE 100
NG.L,National Grid plc,FTSE 100
NWG.L,NatWest Group,FTSE 100
NXT.L,Next plc,FTSE 100
PSON.L,Pearson plc,FTSE 100
PSH.L,Pershing Square Holdings,FTSE 100
PSN.L,Persimmon,FTSE 100
PCT.L,Polar Capital Technology Trust,FTSE 100
PRU.L,Prudential plc,FTSE 100
RKT.L,Reckitt,FTSE 100
REL.L,RELX,FTSE 100
RTO.L,Rentokil Initial,FTSE 100
RIO.L,Rio Tinto,FTSE 100
RR.L,Rolls-Royce Holdings,FTSE 100
SGE.L,Sage Group,FTSE 100
SBRY.L,Sainsbury's,FTSE 100
SDR.L,Schroders,FTSE 100
SMT.L,Scottish Mortgage Investment Trust,FTSE 100
SGRO.L,Segro,FTSE 100
SVT.L,Severn Trent,FTSE 100
SHEL.L,Shell plc,FTSE 100
SMIN.L,Smiths Group,FTSE 100
SN.L,Smith & Nephew,FTSE 100
SPX.L,Spirax Group,FTSE 100
SSE.L,SSE plc,FTSE 100
STAN.L,Standard Chartered,FTSE 100
SDLF.L,Standard Life,FTSE 100
STJ.L,St. James's Place,FTSE 100
TSCO.L,Tesco,FTSE 100
BBOX.L,Tritax Big Box REIT,FTSE 100
ULVR.L,Unilever,FTSE 100
UU.L,United Utilities,FTSE 100
VOD.L,Vodafone Group,FTSE 100
WEIR.L,Weir Group,FTSE 100
WTB.L,Whitbread,FTSE 100
3IN.L,3i Infrastructure,FTSE 250
FOUR.L,4imprint,FTSE 250
AAS.L,Aberdeen Asia Focus,FTSE 250
ASL.L,Aberforth Smaller Companies Trust,FTSE 250
AEP.L,AEP Plantations,FTSE 250
ALFA.L,Alfa Financial Software,FTSE 250
ATT.L,Allianz Technology Trust,FTSE 250
AO.L,AO World,FTSE 250
APN.L,Applied Nutrition,FTSE 250
ASHM.L,Ashmore Group,FTSE 250
AIE.L,Ashoka India Equity Investment Trust,FTSE 250
AML.L,Aston Martin Lagonda,FTSE 250
ATYM.L,Atalaya Mining,FTSE 250
ATG.L,Auction Technology Group,FTSE 250
AGT.L,AVI Global Trust,FTSE 250
AVON.L,Avon Technologies,FTSE 250
BME.L,B&M,FTSE 250
BGFD.L,Baillie Gifford Japan Trust,FTSE 250
USA.L,Baillie Gifford US Growth Trust,FTSE 250
BBY.L,Balfour Beatty,FTSE 250
BCG.L,Baltic Classifieds,FTSE 250
BNKR.L,Bankers Investment Trust,FTSE 250
BAG.L,A.G. Barr,FTSE 250
AJB.L,AJ Bell,FTSE 250
BWY.L,Bellway,FTSE 250
BKG.L,Berkeley Group Holdings,FTSE 250
BHMG.L,BH Macro,FTSE 250
BYG.L,Big Yellow Group,FTSE 250
BPCR.L,Biopharma Credit,FTSE 250
BRGE.L,BlackRock Greater Europe Investment Trust,FTSE 250
BRSC.L,BlackRock Smaller Companies Trust,FTSE 250
BRWM.L,BlackRock World Mining Trust,FTSE 250
BMY.L,Bloomsbury Publishing,FTSE 250
BOY.L,Bodycote,FTSE 250
BREE.L,Breedon Group,FTSE 250
BPT.L,Bridgepoint Group,FTSE 250
BUT.L,Brunner Investment Trust,FTSE 250
BYIT.L,Bytes Technology Group,FTSE 250
CLDN.L,Caledonia Investments,FTSE 250
CGT.L,Capital Gearing Trust,FTSE 250
CWR.L,Ceres Power,FTSE 250
CHG.L,Chemring Group,FTSE 250
CSN.L,Chesnara,FTSE 250
CTY.L,City of London Investment Trust,FTSE 250
CKN.L,Clarkson,FTSE 250
CBG.L,Close Brothers Group,FTSE 250
CMCX.L,CMC Markets,FTSE 250
COA.L,Coats Group,FTSE 250
CORD.L,Cordiant Digital Infrastructure,FTSE 250
COST.L,Costain Group,FTSE 250
CWK.L,Cranswick,FTSE 250
CURY.L,Currys,FTSE 250
CVSG.L,CVS Group,FTSE 250
DLN.L,Derwent London,FTSE 250
DSCV.L,discoverIE,FTSE 250
DOM.L,Domino's Pizza,FTSE 250
DRX.L,Drax Group,FTSE 250
